0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
File name,processed_census-out_07142022_EV1-98_16pl_M,,,,,,,,,,,,,,,
Plex,16,,,,,,,,,,,,,,,
Control channels,tag_126.127726,tag_127.124761,,,,,,,,,,,,,,
Channels,tag_126.127726,tag_127.124761,tag_127.131081,tag_128.128116,tag_128.134436,tag_129.131471,tag_129.13779,tag_130.134825,tag_130.141145,tag_131.13818,tag_131.1445,tag_132.141535,tag_132.147855,tag_133.14489,tag_133.15121,tag_134.148245
Rename channels,ctrl_turbo(-)_1,ctrl_turbo(-)_2,LPS_turbo(-)_1,LPS_turbo(-)_2,fast_turbo(-)_1,fast_turbo(-)_2,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,fast_turbo(+)_4
,,,,,,,,,,,,,,,,
File name,processed_census-out_07232022_EV1-100B_10pl_M,,,,,,,,,,,,,,,
Plex,10,,,,,,,,,,,,,,,
Control channels,tag_126.127726,tag_127.124761,,,,,,,,,,,,,,
Channels,tag_126.127726,tag_127.124761,tag_127.131081,tag_128.128116,tag_128.134436,tag_129.131471,tag_129.13779,tag_130.134825,tag_130.141145,tag_131.13818,,,,,,
Rename channels,eWAT_HF_cre-_1,eWAT_HF_cre-_2,eWAT_chow_cre-_1,eWAT_chow_cre-_2,eWAT_HF_cre+_1,eWAT_HF_cre+_2,eWAT_HF_cre+_3,eWAT_chow_cre+_1,eWAT_chow_cre+_2,eWAT_chow_cre+_3,,,,,,
,,,,,,,,,,,,,,,,
File name,processed_census-out_07252022_EV1-100C_10pl_M,,,,,,,,,,,,,,,
Plex,10,,,,,,,,,,,,,,,
Control channels,tag_126.127726,tag_127.124761,,,,,,,,,,,,,,
Channels,tag_126.127726,tag_127.124761,tag_127.131081,tag_128.128116,tag_128.134436,tag_129.131471,tag_129.13779,tag_130.134825,tag_130.141145,tag_131.13818,,,,,,
Rename channels,iWAT_chow_cre-_1,iWAT_chow_cre-_2,eWAT_chow_cre-_1,eWAT_chow_cre-_2,iWAT_chow_cre+_1,iWAT_chow_cre+_2,iWAT_chow_cre+_3,eWAT_chow_cre+_1,eWAT_chow_cre+_2,eWAT_chow_cre+_3,,,,,,
,,,,,,,,,,,,,,,,
File name,processed_census-out_07302022_EV1-100A_10pl_M,,,,,,,,,,,,,,,
Plex,10,,,,,,,,,,,,,,,
Control channels,tag_126.127726,tag_127.124761,,,,,,,,,,,,,,
Channels,tag_126.127726,tag_127.124761,tag_127.131081,tag_128.128116,tag_128.134436,tag_129.131471,tag_129.13779,tag_130.134825,tag_130.141145,tag_131.13818,,,,,,
Rename channels,iWAT_HF_cre-_1,iWAT_HF_cre-_2,iWAT_chow_cre-_1,iWAT_chow_cre-_2,iWAT_HF_cre+_1,iWAT_HF_cre+_2,iWAT_HF_cre+_3,iWAT_chow_cre+_1,iWAT_chow_cre+_2,iWAT_chow_cre+_3,,,,,,
,,,,,,,,,,,,,,,,
File name,processed_census-out_08032022_EV1-100D_10pl_M,,,,,,,,,,,,,,,
Plex,10,,,,,,,,,,,,,,,
Control channels,tag_126.127726,tag_127.124761,,,,,,,,,,,,,,
Channels,tag_126.127726,tag_127.124761,tag_127.131081,tag_128.128116,tag_128.134436,tag_129.131471,tag_129.13779,tag_130.134825,tag_130.141145,tag_131.13818,,,,,,
Rename channels,iWAT_HF_cre-_1,iWAT_HF_cre-_2,eWAT_HF_cre-_1,eWAT_HF_cre-_2,iWAT_HF_cre+_1,iWAT_HF_cre+_2,iWAT_HF_cre+_3,eWAT_HF_cre+_1,eWAT_HF_cre+_2,eWAT_HF_cre+_3,,,,,,