File name,Channels,Rename channels
processed_census-out_07142022_EV1-98_16pl_M,tag_126.127726,ctrl_turbo(-)_1
processed_census-out_07142022_EV1-98_16pl_M,tag_127.124761,ctrl_turbo(-)_2
processed_census-out_07142022_EV1-98_16pl_M,tag_127.131081,LPS_turbo(-)_1
processed_census-out_07142022_EV1-98_16pl_M,tag_128.128116,LPS_turbo(-)_2
processed_census-out_07142022_EV1-98_16pl_M,tag_128.134436,fast_turbo(-)_1
processed_census-out_07142022_EV1-98_16pl_M,tag_129.131471,fast_turbo(-)_2
processed_census-out_07142022_EV1-98_16pl_M,tag_129.13779,ctrl_turbo(+)_1
processed_census-out_07142022_EV1-98_16pl_M,tag_130.134825,ctrl_turbo(+)_2
processed_census-out_07142022_EV1-98_16pl_M,tag_130.141145,ctrl_turbo(+)_3
processed_census-out_07142022_EV1-98_16pl_M,tag_131.13818,LPS_turbo(+)_1
processed_census-out_07142022_EV1-98_16pl_M,tag_131.1445,LPS_turbo(+)_2
processed_census-out_07142022_EV1-98_16pl_M,tag_132.141535,LPS_turbo(+)_3
processed_census-out_07142022_EV1-98_16pl_M,tag_132.147855,fast_turbo(+)_1
processed_census-out_07142022_EV1-98_16pl_M,tag_133.14489,fast_turbo(+)_2
processed_census-out_07142022_EV1-98_16pl_M,tag_133.15121,fast_turbo(+)_3
processed_census-out_07142022_EV1-98_16pl_M,tag_134.148245,fast_turbo(+)_4
processed_census-out_07232022_EV1-100B_10pl_M,tag_126.127726,eWAT_HF_cre-_1
processed_census-out_07232022_EV1-100B_10pl_M,tag_127.124761,eWAT_HF_cre-_2
processed_census-out_07232022_EV1-100B_10pl_M,tag_127.131081,eWAT_chow_cre-_1
processed_census-out_07232022_EV1-100B_10pl_M,tag_128.128116,eWAT_chow_cre-_2
processed_census-out_07232022_EV1-100B_10pl_M,tag_128.134436,eWAT_HF_cre+_1
processed_census-out_07232022_EV1-100B_10pl_M,tag_129.131471,eWAT_HF_cre+_2
processed_census-out_07232022_EV1-100B_10pl_M,tag_129.13779,eWAT_HF_cre+_3
processed_census-out_07232022_EV1-100B_10pl_M,tag_130.134825,eWAT_chow_cre+_1
processed_census-out_07232022_EV1-100B_10pl_M,tag_130.141145,eWAT_chow_cre+_2
processed_census-out_07232022_EV1-100B_10pl_M,tag_131.13818,eWAT_chow_cre+_3
processed_census-out_07252022_EV1-100C_10pl_M,tag_126.127726,iWAT_chow_cre-_1
processed_census-out_07252022_EV1-100C_10pl_M,tag_127.124761,iWAT_chow_cre-_2
processed_census-out_07252022_EV1-100C_10pl_M,tag_127.131081,eWAT_chow_cre-_1
processed_census-out_07252022_EV1-100C_10pl_M,tag_128.128116,eWAT_chow_cre-_2
processed_census-out_07252022_EV1-100C_10pl_M,tag_128.134436,iWAT_chow_cre+_1
processed_census-out_07252022_EV1-100C_10pl_M,tag_129.131471,iWAT_chow_cre+_2
processed_census-out_07252022_EV1-100C_10pl_M,tag_129.13779,iWAT_chow_cre+_3
processed_census-out_07252022_EV1-100C_10pl_M,tag_130.134825,eWAT_chow_cre+_1
processed_census-out_07252022_EV1-100C_10pl_M,tag_130.141145,eWAT_chow_cre+_2
processed_census-out_07252022_EV1-100C_10pl_M,tag_131.13818,eWAT_chow_cre+_3
processed_census-out_07302022_EV1-100A_10pl_M,tag_126.127726,iWAT_HF_cre-_1
processed_census-out_07302022_EV1-100A_10pl_M,tag_127.124761,iWAT_HF_cre-_2
processed_census-out_07302022_EV1-100A_10pl_M,tag_127.131081,iWAT_chow_cre-_1
processed_census-out_07302022_EV1-100A_10pl_M,tag_128.128116,iWAT_chow_cre-_2
processed_census-out_07302022_EV1-100A_10pl_M,tag_128.134436,iWAT_HF_cre+_1
processed_census-out_07302022_EV1-100A_10pl_M,tag_129.131471,iWAT_HF_cre+_2
processed_census-out_07302022_EV1-100A_10pl_M,tag_129.13779,iWAT_HF_cre+_3
processed_census-out_07302022_EV1-100A_10pl_M,tag_130.134825,iWAT_chow_cre+_1
processed_census-out_07302022_EV1-100A_10pl_M,tag_130.141145,iWAT_chow_cre+_2
processed_census-out_07302022_EV1-100A_10pl_M,tag_131.13818,iWAT_chow_cre+_3
processed_census-out_08032022_EV1-100D_10pl_M,tag_126.127726,iWAT_HF_cre-_1
processed_census-out_08032022_EV1-100D_10pl_M,tag_127.124761,iWAT_HF_cre-_2
processed_census-out_08032022_EV1-100D_10pl_M,tag_127.131081,eWAT_HF_cre-_1
processed_census-out_08032022_EV1-100D_10pl_M,tag_128.128116,eWAT_HF_cre-_2
processed_census-out_08032022_EV1-100D_10pl_M,tag_128.134436,iWAT_HF_cre+_1
processed_census-out_08032022_EV1-100D_10pl_M,tag_129.131471,iWAT_HF_cre+_2
processed_census-out_08032022_EV1-100D_10pl_M,tag_129.13779,iWAT_HF_cre+_3
processed_census-out_08032022_EV1-100D_10pl_M,tag_130.134825,eWAT_HF_cre+_1
processed_census-out_08032022_EV1-100D_10pl_M,tag_130.141145,eWAT_HF_cre+_2
processed_census-out_08032022_EV1-100D_10pl_M,tag_131.13818,eWAT_HF_cre+_3