File name ,Channel name,Condition name 
processed_census-out_20220714_EV1_98,tag_126.127726,basal_cre+_1
processed_census-out_20220714_EV1_98,tag_127.124761,basal_cre+_2
processed_census-out_20220714_EV1_98,tag_127.131081,basal_cre+_3
processed_census-out_20220714_EV1_98,tag_128.128116,fast_cre+_1
processed_census-out_20220714_EV1_98,tag_128.134436,fast_cre+_2
processed_census-out_20220714_EV1_98,tag_129.131471,fast_cre+_3
processed_census-out_20220714_EV1_98,tag_129.13779,LPS_cre+_1
processed_census-out_20220714_EV1_98,tag_130.134825,LPS_cre+_2
processed_census-out_20220714_EV1_98,tag_130.141145,LPS_cre+_3
processed_census-out_20220714_EV1_98,tag_131.13818,LPS_cre+_4
processed_census-out_20220714_EV1_98,tag_131.1445,basal_cre-_1
processed_census-out_20220714_EV1_98,tag_132.141535,basal_cre-_2
processed_census-out_20220714_EV1_98,tag_132.147855,fast_cre-_1
processed_census-out_20220714_EV1_98,tag_133.14489,fast_cre-_2
processed_census-out_20220714_EV1_98,tag_133.15121,LPS_cre-_1
processed_census-out_20220714_EV1_98,tag_134.148245,LPS_cre-_2
,,
processed_census-out_20220807_EV1_101,tag_126.127726,basal_cre+_1
processed_census-out_20220807_EV1_101,tag_127.124761,basal_cre+_2
processed_census-out_20220807_EV1_101,tag_127.131081,basal_cre+_3
processed_census-out_20220807_EV1_101,tag_128.128116,basal_cre-_1
processed_census-out_20220807_EV1_101,tag_128.134436,basal_cre-_2
processed_census-out_20220807_EV1_101,tag_129.131471,LPS_cre+_1
processed_census-out_20220807_EV1_101,tag_129.13779,LPS_cre+_2
processed_census-out_20220807_EV1_101,tag_130.134825,LPS_cre+_3
processed_census-out_20220807_EV1_101,tag_130.141145,LPS_cre+_4
processed_census-out_20220807_EV1_101,tag_131.13818,LPS_cre-_1
processed_census-out_20220807_EV1_101,tag_131.1445,LPS_cre-_2
processed_census-out_20220807_EV1_101,tag_132.141535,fast_cre+_1
processed_census-out_20220807_EV1_101,tag_132.147855,fast_cre+_2
processed_census-out_20220807_EV1_101,tag_133.14489,fast_cre+_3
processed_census-out_20220807_EV1_101,tag_133.15121,fast_cre-_1
processed_census-out_20220807_EV1_101,tag_134.148245,fast_cre-_2
,,
processed_census-out_20220818_EV1_105,tag_126.127726,alb_cre+_1
processed_census-out_20220818_EV1_105,tag_127.124761,alb_cre+_2
processed_census-out_20220818_EV1_105,tag_127.131081,alb_cre+_3
processed_census-out_20220818_EV1_105,tag_128.128116,alb_cre-_1
processed_census-out_20220818_EV1_105,tag_128.134436,alb_cre-_2
processed_census-out_20220818_EV1_105,tag_129.131471,adip_cre+_1
processed_census-out_20220818_EV1_105,tag_129.13779,adip_cre+_2
processed_census-out_20220818_EV1_105,tag_130.134825,adip_cre+_3
processed_census-out_20220818_EV1_105,tag_130.141145,adip_cre-_1
processed_census-out_20220818_EV1_105,tag_131.13818,adip_cre-_2
processed_census-out_20220818_EV1_105,tag_131.1445,CD19_cre+_1
processed_census-out_20220818_EV1_105,tag_132.141535,CD19_cre+_2
processed_census-out_20220818_EV1_105,tag_132.147855,CD19_cre+_3
processed_census-out_20220818_EV1_105,tag_133.14489,CD19_cre+_4
processed_census-out_20220818_EV1_105,tag_133.15121,CD19_cre-_1
processed_census-out_20220818_EV1_105,tag_134.148245,CD19_cre-_2
,,
processed_census-out_20221129_EV1_136,tag_126.127726,basal_cre-_1
processed_census-out_20221129_EV1_136,tag_127.124761,basal_cre-_2
processed_census-out_20221129_EV1_136,tag_127.131081,basal_cre+_1
processed_census-out_20221129_EV1_136,tag_128.128116,basal_cre+_2
processed_census-out_20221129_EV1_136,tag_128.134436,basal_cre+_3
processed_census-out_20221129_EV1_136,tag_129.131471,fast_cre-_1
processed_census-out_20221129_EV1_136,tag_129.13779,fast_cre-_2
processed_census-out_20221129_EV1_136,tag_130.134825,fast_cre+_1
processed_census-out_20221129_EV1_136,tag_130.141145,fast_cre+_2
processed_census-out_20221129_EV1_136,tag_131.13818,fast_cre+_3
processed_census-out_20221129_EV1_136,tag_131.1445,LPS_cre-_1
processed_census-out_20221129_EV1_136,tag_132.141535,LPS_cre-_2
processed_census-out_20221129_EV1_136,tag_132.147855,LPS_cre+_1
processed_census-out_20221129_EV1_136,tag_133.14489,LPS_cre+_2
processed_census-out_20221129_EV1_136,tag_133.15121,LPS_cre+_3
processed_census-out_20221129_EV1_136,tag_134.148245,LPS_cre+_4
,,
processed_census-out_20221130_EV1_137,tag_126.127726,basal_cre-_1
processed_census-out_20221130_EV1_137,tag_127.124761,basal_cre-_2
processed_census-out_20221130_EV1_137,tag_127.131081,basal_cre+_1
processed_census-out_20221130_EV1_137,tag_128.128116,basal_cre+_2
processed_census-out_20221130_EV1_137,tag_128.134436,basal_cre+_3
processed_census-out_20221130_EV1_137,tag_129.131471,fast_cre-_1
processed_census-out_20221130_EV1_137,tag_129.13779,fast_cre-_2
processed_census-out_20221130_EV1_137,tag_130.134825,fast_cre+_1
processed_census-out_20221130_EV1_137,tag_130.141145,fast_cre+_2
processed_census-out_20221130_EV1_137,tag_131.13818,fast_cre+_3
processed_census-out_20221130_EV1_137,tag_131.1445,LPS_cre-_1
processed_census-out_20221130_EV1_137,tag_132.141535,LPS_cre-_2
processed_census-out_20221130_EV1_137,tag_132.147855,LPS_cre+_1
processed_census-out_20221130_EV1_137,tag_133.14489,LPS_cre+_2
processed_census-out_20221130_EV1_137,tag_133.15121,LPS_cre+_3
processed_census-out_20221130_EV1_137,tag_134.148245,LPS_cre+_4
,,
processed_census-out_20231114_CRW_A26A,tag_126.127726,iWAT_chow_cre-_1
processed_census-out_20231114_CRW_A26A,tag_127.124761,iWAT_chow_cre-_2
processed_census-out_20231114_CRW_A26A,tag_127.131081,iWAT_chow_cre-_3
processed_census-out_20231114_CRW_A26A,tag_128.128116,iWAT_chow_cre-_4
processed_census-out_20231114_CRW_A26A,tag_128.134436,iWAT_chow_cre+_1
processed_census-out_20231114_CRW_A26A,tag_129.131471,iWAT_chow_cre+_2
processed_census-out_20231114_CRW_A26A,tag_129.13779,iWAT_chow_cre+_3
processed_census-out_20231114_CRW_A26A,tag_130.134825,iWAT_HFD_cre-_1
processed_census-out_20231114_CRW_A26A,tag_130.141145,iWAT_HFD_cre-_2
processed_census-out_20231114_CRW_A26A,tag_131.13818,iWAT_HFD_cre-_3
processed_census-out_20231114_CRW_A26A,tag_131.1445,iWAT_HFD_cre-_4
processed_census-out_20231114_CRW_A26A,tag_132.141535,iWAT_HFD_cre+_1
processed_census-out_20231114_CRW_A26A,tag_132.147855,iWAT_HFD_cre+_2
processed_census-out_20231114_CRW_A26A,tag_133.14489,iWAT_HFD_cre+_3
,,
processed_census-out_20240401_CRW_B13,tag_126.127726,chow_cre-_1
processed_census-out_20240401_CRW_B13,tag_127.124761,chow_cre-_2
processed_census-out_20240401_CRW_B13,tag_127.131081,chow_cre-_3
processed_census-out_20240401_CRW_B13,tag_128.128116,chow_cre+_1
processed_census-out_20240401_CRW_B13,tag_128.134436,chow_cre+_2
processed_census-out_20240401_CRW_B13,tag_129.131471,chow_cre+_3
processed_census-out_20240401_CRW_B13,tag_129.13779,chow_cre+_4
processed_census-out_20240401_CRW_B13,tag_130.134825,chow_cre+_5
processed_census-out_20240401_CRW_B13,tag_130.141145,HFD_cre-_1
processed_census-out_20240401_CRW_B13,tag_131.13818,HFD_cre-_2
processed_census-out_20240401_CRW_B13,tag_131.1445,HFD_cre-_3
processed_census-out_20240401_CRW_B13,tag_132.141535,HFD_cre+_1
processed_census-out_20240401_CRW_B13,tag_132.147855,HFD_cre+_2
processed_census-out_20240401_CRW_B13,tag_133.14489,HFD_cre+_3
processed_census-out_20240401_CRW_B13,tag_133.15121,HFD_cre+_4
processed_census-out_20240401_CRW_B13,tag_134.148245,HFD_cre+_5
,,
processed_census-out_20240427_CRW_B17A,tag_126.127726,iWAT_chow_cre-_1
processed_census-out_20240427_CRW_B17A,tag_127.124761,iWAT_chow_cre-_2
processed_census-out_20240427_CRW_B17A,tag_127.131081,iWAT_chow_cre-_3
processed_census-out_20240427_CRW_B17A,tag_128.128116,iWAT_chow_cre+_1
processed_census-out_20240427_CRW_B17A,tag_128.134436,iWAT_chow_cre+_2
processed_census-out_20240427_CRW_B17A,tag_129.131471,iWAT_chow_cre+_3
processed_census-out_20240427_CRW_B17A,tag_129.13779,iWAT_chow_cre+_4
processed_census-out_20240427_CRW_B17A,tag_130.134825,iWAT_chow_cre+_5
processed_census-out_20240427_CRW_B17A,tag_130.141145,iWAT_HFD_cre-_1
processed_census-out_20240427_CRW_B17A,tag_131.13818,iWAT_HFD_cre-_2
processed_census-out_20240427_CRW_B17A,tag_131.1445,iWAT_HFD_cre-_3
processed_census-out_20240427_CRW_B17A,tag_132.141535,iWAT_HFD_cre+_1
processed_census-out_20240427_CRW_B17A,tag_132.147855,iWAT_HFD_cre+_2
processed_census-out_20240427_CRW_B17A,tag_133.14489,iWAT_HFD_cre+_3
processed_census-out_20240427_CRW_B17A,tag_133.15121,iWAT_HFD_cre+_4
processed_census-out_20240427_CRW_B17A,tag_134.148245,iWAT_HFD_cre+_5
,,
processed_census-out_20240429_CRW_B17B,tag_126.127726,eWAT_HFD_cre-_1
processed_census-out_20240429_CRW_B17B,tag_127.124761,eWAT_HFD_cre-_2
processed_census-out_20240429_CRW_B17B,tag_127.131081,eWAT_HFD_cre-_3
processed_census-out_20240429_CRW_B17B,tag_128.128116,eWAT_HFD_cre+_1
processed_census-out_20240429_CRW_B17B,tag_128.134436,eWAT_HFD_cre+_2
processed_census-out_20240429_CRW_B17B,tag_129.131471,eWAT_HFD_cre+_3
processed_census-out_20240429_CRW_B17B,tag_129.13779,eWAT_HFD_cre+_4
processed_census-out_20240429_CRW_B17B,tag_130.134825,eWAT_HFD_cre+_5
processed_census-out_20240429_CRW_B17B,tag_130.141145,eWAT_chow_cre-_1
processed_census-out_20240429_CRW_B17B,tag_131.13818,eWAT_chow_cre-_2
processed_census-out_20240429_CRW_B17B,tag_131.1445,eWAT_chow_cre-_3
processed_census-out_20240429_CRW_B17B,tag_132.141535,eWAT_chow_cre+_1
processed_census-out_20240429_CRW_B17B,tag_133.14489,eWAT_chow_cre+_3
processed_census-out_20240429_CRW_B17B,tag_133.15121,eWAT_chow_cre+_4
processed_census-out_20240429_CRW_B17B,tag_134.148245,eWAT_chow_cre+_5
,,
processed_census-out_20240430_CRW_B17C,tag_126.127726,iWAT_chow_cre-_1
processed_census-out_20240430_CRW_B17C,tag_127.124761,iWAT_chow_cre-_2
processed_census-out_20240430_CRW_B17C,tag_127.131081,iWAT_chow_cre-_3
processed_census-out_20240430_CRW_B17C,tag_128.128116,iWAT_chow_cre+_1
processed_census-out_20240430_CRW_B17C,tag_128.134436,iWAT_chow_cre+_2
processed_census-out_20240430_CRW_B17C,tag_129.131471,iWAT_chow_cre+_3
processed_census-out_20240430_CRW_B17C,tag_129.13779,iWAT_chow_cre+_4
processed_census-out_20240430_CRW_B17C,tag_130.134825,iWAT_chow_cre+_5
processed_census-out_20240430_CRW_B17C,tag_130.141145,eWAT_chow_cre-_1
processed_census-out_20240430_CRW_B17C,tag_131.13818,eWAT_chow_cre-_2
processed_census-out_20240430_CRW_B17C,tag_131.1445,eWAT_chow_cre-_3
processed_census-out_20240430_CRW_B17C,tag_132.141535,eWAT_chow_cre+_1
processed_census-out_20240430_CRW_B17C,tag_132.147855,eWAT_chow_cre+_2
processed_census-out_20240430_CRW_B17C,tag_133.14489,eWAT_chow_cre+_3
processed_census-out_20240430_CRW_B17C,tag_133.15121,eWAT_chow_cre+_4
processed_census-out_20240430_CRW_B17C,tag_134.148245,eWAT_chow_cre+_5
,,
processed_census-out_20240501_CRW_B17D,tag_126.127726,eWAT_HFD_cre-_1
processed_census-out_20240501_CRW_B17D,tag_127.124761,eWAT_HFD_cre-_2
processed_census-out_20240501_CRW_B17D,tag_127.131081,eWAT_HFD_cre-_3
processed_census-out_20240501_CRW_B17D,tag_128.128116,eWAT_HFD_cre+_1
processed_census-out_20240501_CRW_B17D,tag_128.134436,eWAT_HFD_cre+_2
processed_census-out_20240501_CRW_B17D,tag_129.131471,eWAT_HFD_cre+_3
processed_census-out_20240501_CRW_B17D,tag_129.13779,eWAT_HFD_cre+_4
processed_census-out_20240501_CRW_B17D,tag_130.134825,eWAT_HFD_cre+_5
processed_census-out_20240501_CRW_B17D,tag_130.141145,iWAT_HFD_cre-_1
processed_census-out_20240501_CRW_B17D,tag_131.13818,iWAT_HFD_cre-_2
processed_census-out_20240501_CRW_B17D,tag_131.1445,iWAT_HFD_cre-_3
processed_census-out_20240501_CRW_B17D,tag_132.141535,iWAT_HFD_cre+_1
processed_census-out_20240501_CRW_B17D,tag_132.147855,iWAT_HFD_cre+_2
processed_census-out_20240501_CRW_B17D,tag_133.14489,iWAT_HFD_cre+_3
processed_census-out_20240501_CRW_B17D,tag_133.15121,iWAT_HFD_cre+_4
processed_census-out_20240501_CRW_B17D,tag_134.148245,iWAT_HFD_cre+_5
,,
processed_census-out_20240907_CRW_B25A,tag_126.127726,iWAT_chow_cre-_1
processed_census-out_20240907_CRW_B25A,tag_127.124761,iWAT_chow_cre-_2
processed_census-out_20240907_CRW_B25A,tag_127.131081,iWAT_chow_cre-_3
processed_census-out_20240907_CRW_B25A,tag_128.128116,iWAT_chow_cre+_1
processed_census-out_20240907_CRW_B25A,tag_128.134436,iWAT_chow_cre+_2
processed_census-out_20240907_CRW_B25A,tag_129.131471,iWAT_chow_cre+_3
processed_census-out_20240907_CRW_B25A,tag_129.13779,iWAT_chow_cre+_4
processed_census-out_20240907_CRW_B25A,tag_130.134825,iWAT_chow_cre+_5
processed_census-out_20240907_CRW_B25A,tag_130.141145,iWAT_HFD_cre-_1
processed_census-out_20240907_CRW_B25A,tag_131.13818,iWAT_HFD_cre-_2
processed_census-out_20240907_CRW_B25A,tag_131.1445,iWAT_HFD_cre-_3
processed_census-out_20240907_CRW_B25A,tag_132.141535,iWAT_HFD_cre+_1
processed_census-out_20240907_CRW_B25A,tag_132.147855,iWAT_HFD_cre+_2
processed_census-out_20240907_CRW_B25A,tag_133.14489,iWAT_HFD_cre+_3
processed_census-out_20240907_CRW_B25A,tag_133.15121,iWAT_HFD_cre+_4
processed_census-out_20240907_CRW_B25A,tag_134.148245,iWAT_HFD_cre+_5
,,
processed_census-out_20240909_CRW_B25B,tag_126.127726,eWAT_HFD_cre-_1
processed_census-out_20240909_CRW_B25B,tag_127.124761,eWAT_HFD_cre-_2
processed_census-out_20240909_CRW_B25B,tag_127.131081,eWAT_HFD_cre-_3
processed_census-out_20240909_CRW_B25B,tag_128.128116,eWAT_HFD_cre+_1
processed_census-out_20240909_CRW_B25B,tag_128.134436,eWAT_HFD_cre+_2
processed_census-out_20240909_CRW_B25B,tag_129.131471,eWAT_HFD_cre+_3
processed_census-out_20240909_CRW_B25B,tag_129.13779,eWAT_HFD_cre+_4
processed_census-out_20240909_CRW_B25B,tag_130.134825,eWAT_HFD_cre+_5
processed_census-out_20240909_CRW_B25B,tag_130.141145,eWAT_chow_cre-_1
processed_census-out_20240909_CRW_B25B,tag_131.13818,eWAT_chow_cre-_2
processed_census-out_20240909_CRW_B25B,tag_131.1445,eWAT_chow_cre-_3
processed_census-out_20240909_CRW_B25B,tag_132.141535,eWAT_chow_cre+_1
processed_census-out_20240909_CRW_B25B,tag_132.147855,eWAT_chow_cre+_2
processed_census-out_20240909_CRW_B25B,tag_133.14489,eWAT_chow_cre+_3
processed_census-out_20240909_CRW_B25B,tag_133.15121,eWAT_chow_cre+_4
processed_census-out_20240909_CRW_B25B,tag_134.148245,eWAT_chow_cre+_5
,,
processed_census-out_20240911_CRW_B25C,tag_126.127726,iWAT_chow_cre-_1
processed_census-out_20240911_CRW_B25C,tag_127.124761,iWAT_chow_cre-_2
processed_census-out_20240911_CRW_B25C,tag_127.131081,iWAT_chow_cre-_3
processed_census-out_20240911_CRW_B25C,tag_128.128116,iWAT_chow_cre+_1
processed_census-out_20240911_CRW_B25C,tag_128.134436,iWAT_chow_cre+_2
processed_census-out_20240911_CRW_B25C,tag_129.131471,iWAT_chow_cre+_3
processed_census-out_20240911_CRW_B25C,tag_129.13779,iWAT_chow_cre+_4
processed_census-out_20240911_CRW_B25C,tag_130.134825,iWAT_chow_cre+_5
processed_census-out_20240911_CRW_B25C,tag_130.141145,eWAT_chow_cre-_1
processed_census-out_20240911_CRW_B25C,tag_131.13818,eWAT_chow_cre-_2
processed_census-out_20240911_CRW_B25C,tag_131.1445,eWAT_chow_cre-_3
processed_census-out_20240911_CRW_B25C,tag_132.141535,eWAT_chow_cre+_1
processed_census-out_20240911_CRW_B25C,tag_132.147855,eWAT_chow_cre+_2
processed_census-out_20240911_CRW_B25C,tag_133.14489,eWAT_chow_cre+_3
processed_census-out_20240911_CRW_B25C,tag_133.15121,eWAT_chow_cre+_4
processed_census-out_20240911_CRW_B25C,tag_134.148245,eWAT_chow_cre+_5
,,
processed_census-out_20240915_CRW_B25D,tag_126.127726,eWAT_HFD_cre-_1
processed_census-out_20240915_CRW_B25D,tag_127.124761,eWAT_HFD_cre-_2
processed_census-out_20240915_CRW_B25D,tag_127.131081,eWAT_HFD_cre-_3
processed_census-out_20240915_CRW_B25D,tag_128.128116,eWAT_HFD_cre+_1
processed_census-out_20240915_CRW_B25D,tag_128.134436,eWAT_HFD_cre+_2
processed_census-out_20240915_CRW_B25D,tag_129.131471,eWAT_HFD_cre+_3
processed_census-out_20240915_CRW_B25D,tag_129.13779,eWAT_HFD_cre+_4
processed_census-out_20240915_CRW_B25D,tag_130.134825,eWAT_HFD_cre+_5
processed_census-out_20240915_CRW_B25D,tag_130.141145,iWAT_HFD_cre-_1
processed_census-out_20240915_CRW_B25D,tag_131.13818,iWAT_HFD_cre-_2
processed_census-out_20240915_CRW_B25D,tag_131.1445,iWAT_HFD_cre-_3
processed_census-out_20240915_CRW_B25D,tag_132.141535,iWAT_HFD_cre+_1
processed_census-out_20240915_CRW_B25D,tag_132.147855,iWAT_HFD_cre+_2
processed_census-out_20240915_CRW_B25D,tag_133.14489,iWAT_HFD_cre+_3
processed_census-out_20240915_CRW_B25D,tag_133.15121,iWAT_HFD_cre+_4
processed_census-out_20240915_CRW_B25D,tag_134.148245,iWAT_HFD_cre+_5
,,
processed_census-out_20240917_CRW_B30,tag_126.127726,chow_cre-_1
processed_census-out_20240917_CRW_B30,tag_127.124761,chow_cre-_2
processed_census-out_20240917_CRW_B30,tag_127.131081,chow_cre-_3
processed_census-out_20240917_CRW_B30,tag_128.128116,chow_cre+_1
processed_census-out_20240917_CRW_B30,tag_128.134436,chow_cre+_2
processed_census-out_20240917_CRW_B30,tag_129.131471,chow_cre+_3
processed_census-out_20240917_CRW_B30,tag_129.13779,chow_cre+_4
processed_census-out_20240917_CRW_B30,tag_130.134825,chow_cre+_5
processed_census-out_20240917_CRW_B30,tag_130.141145,HFD_cre-_1
processed_census-out_20240917_CRW_B30,tag_131.13818,HFD_cre-_2
processed_census-out_20240917_CRW_B30,tag_131.1445,HFD_cre-_3
processed_census-out_20240917_CRW_B30,tag_132.141535,HFD_cre+_1
processed_census-out_20240917_CRW_B30,tag_132.147855,HFD_cre+_2
processed_census-out_20240917_CRW_B30,tag_133.14489,HFD_cre+_3
processed_census-out_20240917_CRW_B30,tag_133.15121,HFD_cre+_4
processed_census-out_20240917_CRW_B30,tag_134.148245,HFD_cre+_5